iter	Logloss
0	0.6517130213
1	0.6264591015
2	0.609983031
3	0.5982771698
4	0.5917506011
5	0.5849749845
6	0.5803278136
7	0.576508903
8	0.5725296314
9	0.5686245572
10	0.5646681188
11	0.5598035652
12	0.5555590468
13	0.551356613
14	0.5479681128
15	0.5441049197
16	0.5406566301
17	0.5379643569
18	0.5343957152
19	0.5317804071
20	0.5286703814
21	0.5257061051
22	0.5220087269
23	0.5187547427
24	0.5167070472
25	0.514223284
26	0.5107301828
27	0.5079341227
28	0.5051761585
29	0.50259451
30	0.5004536913
31	0.497565444
32	0.494373447
33	0.492393559
34	0.4885391166
