iter	Passed	Remaining
0	308	493112
1	673	537951
2	1040	553810
3	1407	561486
4	1792	571818
5	2171	576937
6	2553	581208
7	2925	582075
8	3283	580408
9	3686	586228
10	4057	586066
11	4445	588233
12	4830	589747
13	5187	587618
14	5555	586998
15	5994	593440
16	6369	593092
17	6726	591223
18	7097	590601
19	7501	592657
20	7872	591974
21	8233	590579
22	8591	589074
23	8949	587684
24	9310	586536
25	9665	585150
26	10034	584616
27	10401	583949
28	10763	583106
29	11135	582753
30	11504	582291
31	11882	582266
32	12256	582001
33	12631	581797
34	13017	582089
35	13403	582308
36	13784	582303
37	14167	582371
38	14548	582293
39	14933	582402
40	15319	582514
41	15679	581645
42	16106	583190
43	16465	582296
44	16876	583162
45	17283	583892
46	17646	583085
47	18011	582370
48	18426	583267
49	18849	584325
50	19278	585523
51	19702	586522
52	20109	586961
53	20508	587163
54	20918	587633
55	21287	586914
56	21652	586149
57	22021	585462
58	22400	585079
59	22780	584706
60	23160	584327
61	23528	583651
62	23890	582846
63	24256	582155
64	24621	581447
65	24989	580807
66	25355	580141
67	25737	579842
68	26148	580202
69	26507	579369
70	26865	578561
